worker,problem,example,row,col,posterior,response_time
A3RKG5PZN97RD5,14,2,4,3,0,2465
A3RKG5PZN97RD5,14,3,4,4,0,2265
A3RKG5PZN97RD5,14,4,3,4,0.01,2175
A3RKG5PZN97RD5,9,1,6,1,0,17736
A3RKG5PZN97RD5,9,2,6,3,0.01,5147
A3RKG5PZN97RD5,9,3,5,3,0.02,2209
A3RKG5PZN97RD5,9,4,2,1,0.02,2275
A3RKG5PZN97RD5,22,1,3,3,0.25,5760
A3RKG5PZN97RD5,22,2,3,4,0.49,8611
A3RKG5PZN97RD5,4,1,2,1,0.48,15227
A3RKG5PZN97RD5,4,2,2,6,0.48,3749
A3RKG5PZN97RD5,4,3,4,3,0.48,2387
A3RKG5PZN97RD5,4,4,4,4,0.48,2278
A3RKG5PZN97RD5,18,1,2,5,0.26,6379
A3RKG5PZN97RD5,18,2,5,2,0.5,6874
A3RKG5PZN97RD5,18,3,3,6,0.38,8202
A3RKG5PZN97RD5,18,4,1,4,0.38,6717
A3RKG5PZN97RD5,16,1,3,3,0.22,13749
A3RKG5PZN97RD5,16,2,3,2,0.81,8110
A3RKG5PZN97RD5,16,3,2,3,0.81,6468
A3RKG5PZN97RD5,16,4,2,4,1,4538
A3RKG5PZN97RD5,40,1,3,3,0.28,10035
A3RKG5PZN97RD5,40,2,4,4,0.52,5954
A3RKG5PZN97RD5,40,3,5,5,0.52,4577
A3RKG5PZN97RD5,40,4,2,2,0.52,2260
A3RKG5PZN97RD5,15,1,3,4,0,6606
A3RKG5PZN97RD5,15,2,5,2,0.32,5473
A3RKG5PZN97RD5,5,1,5,1,0,4547
A3RKG5PZN97RD5,5,2,6,1,0.01,2362
A3RKG5PZN97RD5,5,3,6,6,0.01,2570
A3RKG5PZN97RD5,5,4,5,6,0.01,2538
A3RKG5PZN97RD5,30,1,4,2,0.2,11426
A3RKG5PZN97RD5,30,2,3,4,0.56,7600
A3RKG5PZN97RD5,30,3,2,5,0.65,3548
A3RKG5PZN97RD5,30,4,3,5,0.68,4523
A3RKG5PZN97RD5,33,1,2,3,0.21,15021
A3RKG5PZN97RD5,33,2,3,3,0.64,2555
A3RKG5PZN97RD5,19,1,1,4,0.63,6005
A3RKG5PZN97RD5,19,2,6,3,0.65,11866
A3RKG5PZN97RD5,19,3,1,1,0.65,3116
A3RKG5PZN97RD5,19,4,6,6,0.65,2200
A3RKG5PZN97RD5,34,1,2,6,0.54,9726
A3RKG5PZN97RD5,34,2,5,2,0.55,11838
A3RKG5PZN97RD5,1,1,3,1,0.27,10388
A3RKG5PZN97RD5,1,2,2,5,0.98,12519
A3RKG5PZN97RD5,25,1,2,3,0,9644
A3RKG5PZN97RD5,25,2,2,4,0,2371
A3RKG5PZN97RD5,17,1,2,5,0.18,11805
A3RKG5PZN97RD5,17,2,2,3,0.61,5841
A3RKG5PZN97RD5,17,3,5,4,0.74,7253
A3RKG5PZN97RD5,17,4,5,2,0.7,5880
A3RKG5PZN97RD5,6,1,1,3,0.47,7416
A3RKG5PZN97RD5,6,2,2,4,0.53,8963
A3RKG5PZN97RD5,35,1,6,1,0.33,7809
A3RKG5PZN97RD5,35,2,6,6,0.99,7665
A3RKG5PZN97RD5,23,1,2,3,0.31,12188
A3RKG5PZN97RD5,23,2,5,5,0.6,8452
A3RKG5PZN97RD5,8,1,2,3,0.49,19174
A3RKG5PZN97RD5,8,2,2,4,0.49,11697
A3RKG5PZN97RD5,12,1,3,5,0.24,7534
A3RKG5PZN97RD5,12,2,6,1,0.49,3469
A3RKG5PZN97RD5,12,3,5,1,0.99,2230
A3RKG5PZN97RD5,12,4,6,5,0.99,4067
A1KS9LITOVPAT8,19,1,1,4,0.48,9071
A1KS9LITOVPAT8,19,2,6,3,0.48,9682
A1KS9LITOVPAT8,19,3,1,1,0.58,12493
A1KS9LITOVPAT8,19,4,2,2,0.75,7910
A1KS9LITOVPAT8,16,1,1,3,0.5,12927
A1KS9LITOVPAT8,16,2,3,2,1,2520
A1KS9LITOVPAT8,16,3,3,5,1,2733
A1KS9LITOVPAT8,16,4,6,4,1,2157
A1KS9LITOVPAT8,21,1,2,4,0.22,15961
A1KS9LITOVPAT8,21,2,3,3,0.22,2499
A1KS9LITOVPAT8,21,3,4,2,0.22,2303
A1KS9LITOVPAT8,21,4,4,3,0.5,2321
A1KS9LITOVPAT8,9,1,5,2,0.25,11018
A1KS9LITOVPAT8,9,2,5,1,0.25,5380
A1KS9LITOVPAT8,32,1,6,5,0.48,7325
A1KS9LITOVPAT8,32,2,6,2,0.48,5211
A1KS9LITOVPAT8,31,1,2,2,0.48,9945
A1KS9LITOVPAT8,31,2,2,5,0.48,5025
A1KS9LITOVPAT8,31,3,5,6,0.48,8434
A1KS9LITOVPAT8,31,4,5,1,0.48,2413
A1KS9LITOVPAT8,13,1,5,2,0.47,13084
A1KS9LITOVPAT8,13,2,5,5,1,4137
A1KS9LITOVPAT8,10,1,6,4,0.36,7181
A1KS9LITOVPAT8,10,2,2,2,0.36,12955
A1KS9LITOVPAT8,10,3,3,6,0.6,22170
A1KS9LITOVPAT8,10,4,4,6,0.57,7832
A1KS9LITOVPAT8,14,1,3,3,0.2,9155
A1KS9LITOVPAT8,14,2,4,3,0.2,2227
A1KS9LITOVPAT8,14,3,3,4,0.2,2414
A1KS9LITOVPAT8,14,4,4,4,0.79,2735
A1KS9LITOVPAT8,37,1,6,6,0.3,9642
A1KS9LITOVPAT8,37,2,6,1,0.32,2527
A1KS9LITOVPAT8,37,3,1,1,0.49,2477
A1KS9LITOVPAT8,37,4,1,6,0.63,2253
A1KS9LITOVPAT8,40,1,4,4,0.32,6699
A1KS9LITOVPAT8,40,2,3,3,0.5,2587
A1KS9LITOVPAT8,40,3,1,1,0.5,4514
A1KS9LITOVPAT8,40,4,6,6,0.78,2093
A1KS9LITOVPAT8,15,1,5,2,0.5,6164
A1KS9LITOVPAT8,15,2,5,4,0.5,2735
A1KS9LITOVPAT8,15,3,3,4,0.69,2268
A1KS9LITOVPAT8,15,4,3,2,0.73,2349
A1KS9LITOVPAT8,4,1,2,1,0.5,9067
A1KS9LITOVPAT8,4,2,2,6,0.66,3921
A1KS9LITOVPAT8,25,1,5,4,0.28,6711
A1KS9LITOVPAT8,25,2,2,4,0.29,5218
A1KS9LITOVPAT8,25,3,3,6,0.51,2351
A1KS9LITOVPAT8,25,4,3,1,0.75,3847
A1KS9LITOVPAT8,38,1,2,3,0.5,18493
A1KS9LITOVPAT8,38,2,3,4,1,7976
A1KS9LITOVPAT8,38,3,4,3,1,9995
A1KS9LITOVPAT8,38,4,5,3,1,2046
A1KS9LITOVPAT8,18,1,2,5,0.2,10274
A1KS9LITOVPAT8,18,2,5,2,0.2,2255
A1KS9LITOVPAT8,7,1,5,3,0.49,12196
A1KS9LITOVPAT8,7,2,5,5,0.75,5243
A1KS9LITOVPAT8,36,1,1,6,0.38,6138
A1KS9LITOVPAT8,36,2,1,1,0.51,2319
A1KS9LITOVPAT8,36,3,3,1,0.51,4025
A1KS9LITOVPAT8,36,4,3,6,0.75,2334
A1KS9LITOVPAT8,34,1,3,2,0.36,12214
A1KS9LITOVPAT8,34,2,3,5,0.36,2936
A1KS9LITOVPAT8,34,3,5,2,0.58,3881
A1KS9LITOVPAT8,34,4,5,5,0.63,2047
A1KS9LITOVPAT8,29,1,2,5,0.33,16672
A1KS9LITOVPAT8,29,2,5,2,0.5,2213
A1KS9LITOVPAT8,20,1,5,2,0.22,12022
A1KS9LITOVPAT8,20,2,4,3,0.52,2495
A1KS9LITOVPAT8,33,1,5,4,0.33,13692
A1KS9LITOVPAT8,33,2,4,4,0.54,2255
A1KS9LITOVPAT8,12,1,6,5,0.26,6590
A1KS9LITOVPAT8,12,2,6,1,1,3287
A1KS9LITOVPAT8,35,1,1,1,0.32,20542
A1KS9LITOVPAT8,35,2,6,1,1,8483
A1KS9LITOVPAT8,23,1,5,4,0.37,12047
A1KS9LITOVPAT8,23,2,2,3,0.49,19463
A1KS9LITOVPAT8,3,1,3,3,0.25,3842
A1KS9LITOVPAT8,3,2,4,3,0.25,2271
A1KS9LITOVPAT8,3,3,4,4,0.5,2223
A1KS9LITOVPAT8,3,4,3,4,0.5,2421
A1KS9LITOVPAT8,26,1,2,3,0.22,9138
A1KS9LITOVPAT8,26,2,4,2,0.22,2258
A1KS9LITOVPAT8,26,3,5,4,0.22,2207
A1KS9LITOVPAT8,26,4,3,5,0.37,2428
A1KS9LITOVPAT8,2,1,1,2,0.48,10713
A1KS9LITOVPAT8,2,2,6,5,0.48,4177
A1KS9LITOVPAT8,2,3,1,5,1,2703
A1KS9LITOVPAT8,2,4,6,2,1,2365
A1KS9LITOVPAT8,22,1,3,3,0.3,11547
A1KS9LITOVPAT8,22,2,4,3,0.48,2431
A1KS9LITOVPAT8,11,1,2,3,0.5,6795
A1KS9LITOVPAT8,11,2,6,1,1,2559
A1KS9LITOVPAT8,39,1,1,5,0.33,6981
A1KS9LITOVPAT8,39,2,6,5,1,7501
A1KS9LITOVPAT8,39,3,5,5,1,5068
A1KS9LITOVPAT8,39,4,1,2,1,6253
A1KS9LITOVPAT8,8,1,2,3,0.49,5987
A1KS9LITOVPAT8,8,2,4,1,0.74,22286
A1KS9LITOVPAT8,6,1,6,3,0.51,11973
A1KS9LITOVPAT8,6,2,4,1,0.51,6540
A1KS9LITOVPAT8,17,1,2,3,0.33,12042
A1KS9LITOVPAT8,17,2,2,5,0.43,7543
A1KS9LITOVPAT8,17,3,5,4,0.51,2381
A1KS9LITOVPAT8,17,4,5,2,0.6,2231
A1KS9LITOVPAT8,27,1,3,2,0.34,10349
A1KS9LITOVPAT8,27,2,6,1,0.44,3262
A1KS9LITOVPAT8,27,3,3,5,0.49,12579
A1KS9LITOVPAT8,27,4,6,6,0.49,2177
A1KS9LITOVPAT8,5,1,5,1,0.21,5361
A1KS9LITOVPAT8,5,2,5,6,0.21,2542
A1KS9LITOVPAT8,24,1,3,2,0.21,8608
A1KS9LITOVPAT8,24,2,4,2,0.21,2060
A1KS9LITOVPAT8,24,3,3,5,0.21,2111
A1KS9LITOVPAT8,24,4,4,5,0.49,2207
A1KS9LITOVPAT8,28,1,3,2,0.32,10471
A1KS9LITOVPAT8,28,2,5,2,0.32,2334
A1KS9LITOVPAT8,30,1,4,2,0.36,6010
A1KS9LITOVPAT8,30,2,5,2,0.49,2028
A1KS9LITOVPAT8,1,1,6,4,0.49,5892
A1KS9LITOVPAT8,1,2,1,4,1,2349
A1U4DNYKF6YUY3,19,1,1,4,0.49,30244
A1U4DNYKF6YUY3,19,2,6,3,0.49,29167
A1U4DNYKF6YUY3,31,1,2,4,0.49,17873
A1U4DNYKF6YUY3,31,2,2,1,1,7525
A1U4DNYKF6YUY3,31,3,2,3,1,7840
A1U4DNYKF6YUY3,31,4,2,2,1,2922
A1U4DNYKF6YUY3,23,1,1,5,0.29,17661
A1U4DNYKF6YUY3,23,2,2,4,0.49,14651
A1U4DNYKF6YUY3,23,3,5,4,1,5917
A1U4DNYKF6YUY3,23,4,2,3,1,2466
A1U4DNYKF6YUY3,30,1,4,2,0.24,20852
A1U4DNYKF6YUY3,30,2,2,4,0.5,21821
A1U4DNYKF6YUY3,27,1,5,2,0.29,57502
A1U4DNYKF6YUY3,27,2,5,1,0.49,44678
A1U4DNYKF6YUY3,1,1,1,4,0.5,19057
A1U4DNYKF6YUY3,1,2,6,4,1,6206
A1U4DNYKF6YUY3,16,1,3,5,0.47,9488
A1U4DNYKF6YUY3,16,2,1,4,1,12681
A1U4DNYKF6YUY3,16,3,1,3,1,5176
A1U4DNYKF6YUY3,16,4,4,5,1,2313
A1U4DNYKF6YUY3,21,1,2,4,0.2,28032
A1U4DNYKF6YUY3,21,2,4,2,0.23,10608
A1U4DNYKF6YUY3,24,1,1,4,0.48,7347
A1U4DNYKF6YUY3,24,2,2,4,0.48,9070
A1U4DNYKF6YUY3,33,1,2,4,0.19,15113
A1U4DNYKF6YUY3,33,2,3,4,0.48,5923
A1U4DNYKF6YUY3,3,1,3,4,0.18,7508
A1U4DNYKF6YUY3,3,2,4,3,0.19,2919
A1U4DNYKF6YUY3,3,3,3,3,0.19,2590
A1U4DNYKF6YUY3,3,4,4,4,0.31,2190
A1U4DNYKF6YUY3,10,1,4,6,0.48,12951
A1U4DNYKF6YUY3,10,2,3,4,0.48,9620
A1U4DNYKF6YUY3,10,3,6,4,1,25034
A1U4DNYKF6YUY3,10,4,3,3,1,5725
A1U4DNYKF6YUY3,29,1,4,3,0.28,22489
A1U4DNYKF6YUY3,29,2,2,4,0.48,8402
A1U4DNYKF6YUY3,11,1,2,4,0.48,6297
A1U4DNYKF6YUY3,11,2,5,5,1,11557
A1U4DNYKF6YUY3,25,1,3,6,0.24,12091
A1U4DNYKF6YUY3,25,2,2,4,0.3,14013
A1U4DNYKF6YUY3,25,3,5,3,0.46,6875
A1U4DNYKF6YUY3,25,4,4,1,0.69,3821
A1U4DNYKF6YUY3,15,1,5,2,0.5,8077
A1U4DNYKF6YUY3,15,2,3,4,0.5,16381
A1U4DNYKF6YUY3,15,3,5,4,0.5,3203
A1U4DNYKF6YUY3,15,4,3,2,0.68,2364
A1U4DNYKF6YUY3,9,1,2,1,0.15,11728
A1U4DNYKF6YUY3,9,2,5,3,0.31,2893
A1U4DNYKF6YUY3,37,1,2,5,0.16,19680
A1U4DNYKF6YUY3,37,2,2,2,0.27,2948
A1U4DNYKF6YUY3,34,1,2,6,0.48,8165
A1U4DNYKF6YUY3,34,2,5,2,0.48,20751
A1U4DNYKF6YUY3,34,3,5,5,0.5,2447
A1U4DNYKF6YUY3,34,4,2,2,0.5,3355
A1U4DNYKF6YUY3,4,1,2,6,0.47,7293
A1U4DNYKF6YUY3,4,2,3,5,0.47,10102
A1U4DNYKF6YUY3,4,3,2,1,0.58,2459
A1U4DNYKF6YUY3,4,4,3,2,0.6,2249
A1U4DNYKF6YUY3,22,1,3,3,0.23,6528
A1U4DNYKF6YUY3,22,2,2,3,0.23,13759
A1U4DNYKF6YUY3,5,1,5,1,0.14,5282
A1U4DNYKF6YUY3,5,2,6,6,0.27,3502
A1U4DNYKF6YUY3,18,1,2,5,0.25,11870
A1U4DNYKF6YUY3,18,2,5,2,0.25,3115
A1U4DNYKF6YUY3,18,3,1,4,0.25,3586
A1U4DNYKF6YUY3,18,4,4,1,0.29,2275
A1U4DNYKF6YUY3,32,1,2,4,0.25,17321
A1U4DNYKF6YUY3,32,2,1,5,0.47,4023
A1U4DNYKF6YUY3,12,1,5,1,0.5,13903
A1U4DNYKF6YUY3,12,2,3,3,1,8035
A1U4DNYKF6YUY3,17,1,5,2,0.28,19171
A1U4DNYKF6YUY3,17,2,2,3,0.48,7879
A1U4DNYKF6YUY3,17,3,5,4,0.48,15155
A1U4DNYKF6YUY3,17,4,3,6,0.48,3681
A1U4DNYKF6YUY3,6,1,1,4,0.49,6042
A1U4DNYKF6YUY3,6,2,6,3,0.49,10484
A1U4DNYKF6YUY3,14,1,3,4,0.14,7036
A1U4DNYKF6YUY3,14,2,3,3,0.14,2302
A1U4DNYKF6YUY3,14,3,4,3,0.16,2239
A1U4DNYKF6YUY3,14,4,4,4,0.16,2244
A1U4DNYKF6YUY3,8,1,2,3,0.46,32862
A1U4DNYKF6YUY3,8,2,2,4,0.46,2314
A1U4DNYKF6YUY3,8,3,3,4,1,18511
A1U4DNYKF6YUY3,8,4,3,3,1,10291
A1U4DNYKF6YUY3,35,1,1,6,0.25,18607
A1U4DNYKF6YUY3,35,2,6,1,0.49,2531
A1U4DNYKF6YUY3,35,3,6,6,1,9872
A1U4DNYKF6YUY3,35,4,1,1,1,2294
A1U4DNYKF6YUY3,39,1,1,2,0.49,13741
A1U4DNYKF6YUY3,39,2,5,5,1,14226
A1U4DNYKF6YUY3,26,1,2,3,0.19,9046
A1U4DNYKF6YUY3,26,2,5,4,0.19,4926
A1U4DNYKF6YUY3,40,1,1,1,0.25,8927
A1U4DNYKF6YUY3,40,2,6,6,0.48,5097
A1U4DNYKF6YUY3,40,3,3,3,0.48,3000
A1U4DNYKF6YUY3,40,4,5,5,0.47,4089
A1U4DNYKF6YUY3,7,1,5,5,0.49,7830
A1U4DNYKF6YUY3,7,2,5,3,0.49,7439
A1U4DNYKF6YUY3,7,3,2,5,0.49,2375
A1U4DNYKF6YUY3,7,4,2,3,0.49,2370
A1U4DNYKF6YUY3,38,1,3,3,0.48,11028
A1U4DNYKF6YUY3,38,2,4,3,1,26834
A1U4DNYKF6YUY3,38,3,3,4,1,3079
A1U4DNYKF6YUY3,38,4,4,4,1,2061
A1U4DNYKF6YUY3,36,1,1,4,0.5,12367
A1U4DNYKF6YUY3,36,2,1,1,0.97,2939
A1U4DNYKF6YUY3,36,3,2,4,1,8069
A1U4DNYKF6YUY3,36,4,2,2,1,2047
A1U4DNYKF6YUY3,13,1,5,2,0.28,9892
A1U4DNYKF6YUY3,13,2,5,5,1,2288
A1U4DNYKF6YUY3,28,1,5,2,0.29,10639
A1U4DNYKF6YUY3,28,2,3,2,0.29,8668
A1U4DNYKF6YUY3,28,3,3,5,0.29,5018
A1U4DNYKF6YUY3,28,4,5,5,0.29,2440
A1U4DNYKF6YUY3,2,1,1,5,0.5,12134
A1U4DNYKF6YUY3,2,2,1,2,0.5,5926
A1U4DNYKF6YUY3,20,1,3,3,0.28,18348
A1U4DNYKF6YUY3,20,2,4,3,0.5,14091
A1U4DNYKF6YUY3,20,3,2,5,0.5,5131
A1U4DNYKF6YUY3,20,4,5,2,0.5,2242
A10249252O9I20MRSOBVF,18,1,5,2,0.29,30088
A10249252O9I20MRSOBVF,18,2,2,5,0.38,21634
A10249252O9I20MRSOBVF,3,1,3,3,0.14,9237
A10249252O9I20MRSOBVF,3,2,4,4,0.14,9505
A10249252O9I20MRSOBVF,3,3,3,4,0.25,3135
A10249252O9I20MRSOBVF,3,4,4,3,0.49,2675
A10249252O9I20MRSOBVF,16,1,1,3,0.24,14424
A10249252O9I20MRSOBVF,16,2,3,5,0.76,18297
A10249252O9I20MRSOBVF,5,1,5,1,0.26,11006
A10249252O9I20MRSOBVF,5,2,6,6,0.47,2913
A10249252O9I20MRSOBVF,27,1,3,2,0.25,45660
A10249252O9I20MRSOBVF,27,2,5,5,0.39,21092
A10249252O9I20MRSOBVF,1,1,1,3,0.27,43670
A10249252O9I20MRSOBVF,1,2,4,1,0.81,6495
A10249252O9I20MRSOBVF,1,3,3,6,0.86,15065
A10249252O9I20MRSOBVF,1,4,1,4,0.89,16260
A10249252O9I20MRSOBVF,40,1,1,1,0.21,28248
A10249252O9I20MRSOBVF,40,2,5,5,0.53,18347
A10249252O9I20MRSOBVF,37,1,6,6,0.2,28530
A10249252O9I20MRSOBVF,37,2,2,2,0.28,14429
A10249252O9I20MRSOBVF,37,3,5,2,0.36,22051
A10249252O9I20MRSOBVF,37,4,2,5,0.48,8255
A10249252O9I20MRSOBVF,13,1,6,2,0.23,19811
A10249252O9I20MRSOBVF,13,2,6,5,0.3,13986
A10249252O9I20MRSOBVF,13,3,4,3,0.36,2727
A10249252O9I20MRSOBVF,13,4,4,4,0.55,10078
A10249252O9I20MRSOBVF,20,1,1,1,0.22,10314
A10249252O9I20MRSOBVF,20,2,2,1,0.28,22696
A10249252O9I20MRSOBVF,20,3,3,2,0.43,17147
A10249252O9I20MRSOBVF,20,4,5,2,0.73,81880
A10249252O9I20MRSOBVF,38,1,1,4,0.26,130410
A10249252O9I20MRSOBVF,38,2,4,5,0.49,9866
A10249252O9I20MRSOBVF,7,1,5,5,0.31,21256
A10249252O9I20MRSOBVF,7,2,5,3,0.47,7688
A10249252O9I20MRSOBVF,7,3,2,5,0.59,3378
A10249252O9I20MRSOBVF,7,4,2,3,0.77,2627
A10249252O9I20MRSOBVF,24,1,1,3,0.25,10998
A10249252O9I20MRSOBVF,24,2,2,3,0.78,6319
A10249252O9I20MRSOBVF,24,3,1,4,0.9,9501
A10249252O9I20MRSOBVF,24,4,6,3,0.95,8870
A10249252O9I20MRSOBVF,6,1,1,3,0.55,7059
A10249252O9I20MRSOBVF,6,2,6,4,0.65,10237
A10249252O9I20MRSOBVF,19,1,1,4,0.45,9991
A10249252O9I20MRSOBVF,19,2,6,6,0.65,11631
A10249252O9I20MRSOBVF,19,3,6,3,0.71,8439
A10249252O9I20MRSOBVF,19,4,2,2,0.71,46038
A10249252O9I20MRSOBVF,21,1,2,4,0.45,18399
A10249252O9I20MRSOBVF,21,2,3,3,0.5,8014
A10249252O9I20MRSOBVF,8,1,2,3,0.41,22925
A10249252O9I20MRSOBVF,8,2,2,4,0.47,6320
A10249252O9I20MRSOBVF,8,3,3,4,0.5,2630
A10249252O9I20MRSOBVF,8,4,4,4,0.62,12869
A10249252O9I20MRSOBVF,33,1,2,4,0.22,20629
A10249252O9I20MRSOBVF,33,2,3,3,0.76,4885
A10249252O9I20MRSOBVF,28,1,3,2,0.34,11815
A10249252O9I20MRSOBVF,28,2,5,5,0.43,8303
A10249252O9I20MRSOBVF,28,3,3,5,0.5,6892
A10249252O9I20MRSOBVF,28,4,5,2,0.71,2565
A10249252O9I20MRSOBVF,2,1,1,2,0.56,9201
A10249252O9I20MRSOBVF,2,2,6,5,0.65,4238
A10249252O9I20MRSOBVF,2,3,1,5,0.68,4943
A10249252O9I20MRSOBVF,2,4,6,2,0.8,3616
A10249252O9I20MRSOBVF,22,1,2,3,0.34,18997
A10249252O9I20MRSOBVF,22,2,5,4,0.6,3576
A10249252O9I20MRSOBVF,31,1,2,4,0.39,21291
A10249252O9I20MRSOBVF,31,2,2,1,0.43,35857
A10249252O9I20MRSOBVF,31,3,5,1,0.48,8906
A10249252O9I20MRSOBVF,31,4,2,6,0.85,12542
A10249252O9I20MRSOBVF,12,1,3,3,0.36,10488
A10249252O9I20MRSOBVF,12,2,4,2,0.42,4671
A10249252O9I20MRSOBVF,12,3,5,1,0.48,2527
A10249252O9I20MRSOBVF,12,4,6,5,0.6,2942
A10249252O9I20MRSOBVF,26,1,2,3,0.32,17834
A10249252O9I20MRSOBVF,26,2,4,2,0.32,5453
A10249252O9I20MRSOBVF,26,3,4,5,0.35,7269
A10249252O9I20MRSOBVF,26,4,5,4,0.39,8207
A10249252O9I20MRSOBVF,25,1,2,3,0.24,17553
A10249252O9I20MRSOBVF,25,2,5,4,0.53,2615
A10249252O9I20MRSOBVF,29,1,4,3,0.37,13349
A10249252O9I20MRSOBVF,29,2,4,2,0.47,9428
A10249252O9I20MRSOBVF,23,1,1,5,0.3,16558
A10249252O9I20MRSOBVF,23,2,2,3,0.56,36983
A10249252O9I20MRSOBVF,10,1,4,6,0.36,30323
A10249252O9I20MRSOBVF,10,2,3,3,0.82,17188
A10249252O9I20MRSOBVF,30,1,2,5,0.28,17625
A10249252O9I20MRSOBVF,30,2,5,2,0.41,6061
A10249252O9I20MRSOBVF,39,1,1,5,0.48,5932
A10249252O9I20MRSOBVF,39,2,1,2,0.52,21208
A10249252O9I20MRSOBVF,39,3,2,5,0.66,25435
A10249252O9I20MRSOBVF,39,4,5,5,0.91,4386
A10249252O9I20MRSOBVF,15,1,5,2,0.6,9001
A10249252O9I20MRSOBVF,15,2,3,4,0.68,17228
A10249252O9I20MRSOBVF,4,1,2,6,0.59,8392
A10249252O9I20MRSOBVF,4,2,3,5,0.72,4926
A10249252O9I20MRSOBVF,4,3,4,3,0.77,8391
A10249252O9I20MRSOBVF,4,4,3,2,0.81,4315
A10249252O9I20MRSOBVF,35,1,5,1,0.52,24191
A10249252O9I20MRSOBVF,35,2,1,6,0.55,6710
A10249252O9I20MRSOBVF,11,1,6,1,0.62,8945
A10249252O9I20MRSOBVF,11,2,2,4,0.82,6595
A10249252O9I20MRSOBVF,11,3,2,3,0.84,10345
A10249252O9I20MRSOBVF,11,4,6,6,0.95,3266
A10249252O9I20MRSOBVF,17,1,2,5,0.35,11220
A10249252O9I20MRSOBVF,17,2,2,3,0.55,16735
A10249252O9I20MRSOBVF,34,1,2,2,0.54,13834
A10249252O9I20MRSOBVF,34,2,5,2,0.6,11681
A10249252O9I20MRSOBVF,34,3,2,5,0.71,3223
A10249252O9I20MRSOBVF,34,4,5,5,0.92,2621
A10249252O9I20MRSOBVF,32,1,1,2,0.42,15033
A10249252O9I20MRSOBVF,32,2,2,3,0.6,4988
A10249252O9I20MRSOBVF,32,3,5,4,0.66,5914
A10249252O9I20MRSOBVF,32,4,6,5,0.83,3018
A10249252O9I20MRSOBVF,36,1,1,1,0.33,12697
