worker,problem,example,row,col,posterior
AJD65G9H2QUE9,5,2,6,6,0.29
AJD65G9H2QUE9,5,3,5,6,0.52
AJD65G9H2QUE9,5,4,6,1,0.75
AJD65G9H2QUE9,33,1,2,3,0.13
AJD65G9H2QUE9,33,2,5,4,0.45
AJD65G9H2QUE9,33,3,5,3,0.59
AJD65G9H2QUE9,33,4,2,4,0.84
AJD65G9H2QUE9,18,1,1,4,0
AJD65G9H2QUE9,18,2,6,3,0.09
AJD65G9H2QUE9,18,3,4,1,0.22
AJD65G9H2QUE9,18,4,3,6,0.45
AJD65G9H2QUE9,35,1,1,1,0
AJD65G9H2QUE9,35,2,2,6,0.05
AJD65G9H2QUE9,35,3,5,2,0.11
AJD65G9H2QUE9,35,4,6,5,0.35
AJD65G9H2QUE9,19,1,1,1,0
AJD65G9H2QUE9,19,2,6,6,0
AJD65G9H2QUE9,19,3,4,1,0.14
AJD65G9H2QUE9,19,4,3,6,0.25
AJD65G9H2QUE9,26,1,2,3,0
AJD65G9H2QUE9,26,2,4,5,0
AJD65G9H2QUE9,26,3,5,3,0
AJD65G9H2QUE9,26,4,4,2,0.09
A1IFIK8J49WBER,9,1,2,1,0.03
A1IFIK8J49WBER,9,2,5,3,0.17
A1IFIK8J49WBER,9,3,6,3,0.4
A1IFIK8J49WBER,9,4,2,2,0.44
A1IFIK8J49WBER,40,1,6,6,0.51
A1IFIK8J49WBER,40,2,1,1,0.51
A1IFIK8J49WBER,40,3,4,4,0.51
A1IFIK8J49WBER,40,4,3,3,0.64
A1IFIK8J49WBER,7,1,2,4,0
A1IFIK8J49WBER,7,2,5,4,0.3
A1IFIK8J49WBER,7,3,3,5,0.48
A1IFIK8J49WBER,7,4,3,3,0.7
A1IFIK8J49WBER,8,1,2,3,0.48
A1IFIK8J49WBER,8,2,2,4,0.48
A1IFIK8J49WBER,8,3,3,1,0.63
A1IFIK8J49WBER,8,4,4,1,0.63
A1IFIK8J49WBER,6,1,1,3,0.49
A1IFIK8J49WBER,6,2,1,4,0.6
A1IFIK8J49WBER,6,3,2,3,0.72
A1IFIK8J49WBER,6,4,2,4,0.81
A1IFIK8J49WBER,28,1,5,2,0.16
A1IFIK8J49WBER,28,2,5,5,0.34
A1IFIK8J49WBER,28,3,3,2,0.45
A1IFIK8J49WBER,28,4,3,5,0.88
A1IFIK8J49WBER,36,1,3,1,0.47
A1IFIK8J49WBER,36,2,3,6,0.98
A1IFIK8J49WBER,36,3,1,6,0.99
A1IFIK8J49WBER,36,4,1,1,1
A1IFIK8J49WBER,31,1,5,4,0.48
A1IFIK8J49WBER,31,2,2,1,1
A1IFIK8J49WBER,31,3,2,6,0.99
A1IFIK8J49WBER,31,4,3,1,1
A1IFIK8J49WBER,19,1,6,3,0.5
A1IFIK8J49WBER,19,2,1,1,0.5
A1IFIK8J49WBER,19,3,2,2,0.5
A1IFIK8J49WBER,19,4,3,3,0.8
A1IFIK8J49WBER,2,1,6,2,0.47
A1IFIK8J49WBER,2,2,1,2,0.99
A1IFIK8J49WBER,2,3,1,5,1
A1IFIK8J49WBER,2,4,6,5,1
A1IFIK8J49WBER,15,1,3,2,0.46
A1IFIK8J49WBER,15,2,3,4,0.64
A1IFIK8J49WBER,15,3,5,2,0.8
A1IFIK8J49WBER,15,4,5,4,0.81
A1IFIK8J49WBER,3,1,3,3,0.62
A1IFIK8J49WBER,3,2,3,4,0.67
A1IFIK8J49WBER,3,3,4,4,0.83
A1IFIK8J49WBER,3,4,4,3,0.99
A1IFIK8J49WBER,23,1,2,3,0.3
A1IFIK8J49WBER,23,2,6,5,0.42
A1IFIK8J49WBER,23,3,5,2,0.5
A1IFIK8J49WBER,23,4,6,2,0.61
A1IFIK8J49WBER,39,1,1,2,0.5
A1IFIK8J49WBER,39,2,5,5,0.77
A1IFIK8J49WBER,39,3,5,2,0.98
A1IFIK8J49WBER,39,4,1,5,1
A1IFIK8J49WBER,22,1,2,3,0.19
A1IFIK8J49WBER,22,2,3,3,0.19
A1IFIK8J49WBER,22,3,5,4,0.47
A1IFIK8J49WBER,22,4,5,3,0.75
A1IFIK8J49WBER,13,1,5,5,0.51
A1IFIK8J49WBER,13,2,5,2,0.98
A1IFIK8J49WBER,13,3,6,2,0.96
A1IFIK8J49WBER,13,4,6,5,0.96
A1IFIK8J49WBER,26,1,4,2,0.2
A1IFIK8J49WBER,26,2,3,2,0.5
A1IFIK8J49WBER,26,3,3,5,0.59
A1IFIK8J49WBER,26,4,4,5,0.81
A1IFIK8J49WBER,30,1,2,5,0.3
A1IFIK8J49WBER,30,2,3,5,0.49
A1IFIK8J49WBER,30,3,4,2,0.49
A1IFIK8J49WBER,30,4,5,2,0.86
A1IFIK8J49WBER,25,1,3,1,0.24
A1IFIK8J49WBER,25,2,2,3,0.38
A1IFIK8J49WBER,25,3,2,4,0.51
A1IFIK8J49WBER,25,4,5,4,0.51
A1IFIK8J49WBER,32,1,5,4,0
A1IFIK8J49WBER,32,2,5,3,0
A1IFIK8J49WBER,32,3,1,5,0.34
A1IFIK8J49WBER,32,4,1,2,0.28
A2V27A9GZA1NR2,23,1,5,4,0.49
A2V27A9GZA1NR2,23,2,2,3,1
A2V27A9GZA1NR2,23,3,1,2,1
A2V27A9GZA1NR2,23,4,6,5,1
A2V27A9GZA1NR2,6,1,6,3,0.47
A2V27A9GZA1NR2,6,2,6,4,0.47
A2V27A9GZA1NR2,6,3,5,4,0.47
A2V27A9GZA1NR2,6,4,5,3,0.47
A2V27A9GZA1NR2,14,1,3,3,0.18
A2V27A9GZA1NR2,14,2,4,3,0.18
A2V27A9GZA1NR2,14,3,4,4,0.18
A2V27A9GZA1NR2,14,4,3,4,0.31
A2V27A9GZA1NR2,35,1,1,6,0.2
A2V27A9GZA1NR2,35,2,6,1,0.28
A2V27A9GZA1NR2,35,3,6,6,0.46
A2V27A9GZA1NR2,35,4,1,1,0.98
A2V27A9GZA1NR2,11,1,2,3,0.4
A2V27A9GZA1NR2,11,2,6,1,0.79
A2V27A9GZA1NR2,11,3,6,6,1
A2V27A9GZA1NR2,11,4,2,4,1
A2V27A9GZA1NR2,3,1,3,3,0.22
A2V27A9GZA1NR2,3,2,4,3,0.22
A2V27A9GZA1NR2,3,3,3,4,0.22
A2V27A9GZA1NR2,3,4,4,4,0.22
A2V27A9GZA1NR2,16,1,3,3,0.3
A2V27A9GZA1NR2,16,2,1,3,0.35
A2V27A9GZA1NR2,16,3,3,2,0.66
A2V27A9GZA1NR2,16,4,4,5,0.86
A2V27A9GZA1NR2,26,1,3,2,0.21
A2V27A9GZA1NR2,26,2,4,5,0.31
A2V27A9GZA1NR2,26,3,5,3,0.36
A2V27A9GZA1NR2,26,4,2,4,0.4
A2V27A9GZA1NR2,31,1,2,6,0.31
A2V27A9GZA1NR2,31,2,5,3,0.43
A2V27A9GZA1NR2,31,3,2,1,0.5
A2V27A9GZA1NR2,31,4,5,4,0.63
A2V27A9GZA1NR2,33,1,2,3,0.28
A2V27A9GZA1NR2,33,2,3,3,0.42
A2V27A9GZA1NR2,33,3,5,4,0.51
A2V27A9GZA1NR2,33,4,4,4,0.57
A2V27A9GZA1NR2,19,1,1,4,0.47
A2V27A9GZA1NR2,19,2,1,1,0.47
A2V27A9GZA1NR2,19,3,2,2,0.49
A2V27A9GZA1NR2,19,4,3,3,0.52
A2V27A9GZA1NR2,9,1,6,3,0.15
A2V27A9GZA1NR2,9,2,5,3,0.24
A2V27A9GZA1NR2,9,3,2,2,0.29
A2V27A9GZA1NR2,9,4,2,1,0.35
A2V27A9GZA1NR2,21,1,2,4,0.24
A2V27A9GZA1NR2,21,2,4,4,0.29
A2V27A9GZA1NR2,21,3,4,2,0.42
A2V27A9GZA1NR2,21,4,3,3,0.44
A2V27A9GZA1NR2,22,1,3,4,0.24
A2V27A9GZA1NR2,22,2,2,3,0.3
A2V27A9GZA1NR2,22,3,5,3,0.36
A2V27A9GZA1NR2,22,4,5,4,0.4
A2V27A9GZA1NR2,28,1,3,5,0.2
A2V27A9GZA1NR2,28,2,5,2,0.29
A2V27A9GZA1NR2,28,3,3,2,0.33
A2V27A9GZA1NR2,28,4,5,5,0.38
A2V27A9GZA1NR2,40,1,6,6,0.3
A2V27A9GZA1NR2,40,2,1,1,0.35
A2V27A9GZA1NR2,40,3,3,3,0.4
A2V27A9GZA1NR2,40,4,4,4,0.42
A2V27A9GZA1NR2,8,1,2,3,0.35
A2V27A9GZA1NR2,8,2,2,4,0.41
A2V27A9GZA1NR2,8,3,3,1,0.41
A2V27A9GZA1NR2,8,4,3,4,0.45
A2V27A9GZA1NR2,4,1,2,6,0.35
A2V27A9GZA1NR2,4,2,3,5,0.48
A2V27A9GZA1NR2,4,3,2,1,0.52
A2V27A9GZA1NR2,4,4,3,2,0.55
A2V27A9GZA1NR2,38,1,3,3,0.48
A2V27A9GZA1NR2,38,2,3,4,0.49
A2V27A9GZA1NR2,38,3,4,4,0.71
A2V27A9GZA1NR2,38,4,4,3,0.99
A2V27A9GZA1NR2,37,1,6,6,0.34
A2V27A9GZA1NR2,37,2,1,1,0.34
A2V27A9GZA1NR2,37,3,6,1,0.37
A2V27A9GZA1NR2,37,4,1,6,0.39
A1P0XSCJ9XAV74,14,1,4,4,0.5
A1P0XSCJ9XAV74,14,2,3,4,0.5
A1P0XSCJ9XAV74,14,3,4,3,0.7
A1P0XSCJ9XAV74,14,4,3,3,0.56
A1P0XSCJ9XAV74,29,1,2,4,0.48
A1P0XSCJ9XAV74,29,2,5,2,0.73
A1P0XSCJ9XAV74,29,3,5,5,0.75
A1P0XSCJ9XAV74,29,4,4,4,0.98
A1P0XSCJ9XAV74,2,1,6,5,0.25
A1P0XSCJ9XAV74,2,2,6,2,0.87
A1P0XSCJ9XAV74,2,3,1,3,0.93
A1P0XSCJ9XAV74,2,4,1,5,0.96
A1P0XSCJ9XAV74,10,1,2,2,0.38
A1P0XSCJ9XAV74,10,2,1,5,0.48
A1P0XSCJ9XAV74,10,3,4,4,0.59
A1P0XSCJ9XAV74,10,4,6,5,0.55
A1P0XSCJ9XAV74,8,1,2,3,0.24
A1P0XSCJ9XAV74,8,2,2,4,0.48
A1P0XSCJ9XAV74,8,3,3,1,0.48
A1P0XSCJ9XAV74,8,4,4,1,0.66
A1P0XSCJ9XAV74,25,1,2,3,0.31
A1P0XSCJ9XAV74,25,2,3,1,0.6
A1P0XSCJ9XAV74,25,3,5,3,0.67
A1P0XSCJ9XAV74,25,4,5,4,0.67
A1P0XSCJ9XAV74,37,1,2,2,0.04
A1P0XSCJ9XAV74,37,2,2,5,0.27
A1P0XSCJ9XAV74,37,3,6,2,0.54
A1P0XSCJ9XAV74,37,4,6,5,0.54
A1P0XSCJ9XAV74,16,1,1,3,0.03
A1P0XSCJ9XAV74,16,2,3,2,0.27
A1P0XSCJ9XAV74,16,3,6,3,0.59
A1P0XSCJ9XAV74,16,4,3,5,0.92
A1P0XSCJ9XAV74,22,1,2,3,0.03
A1P0XSCJ9XAV74,22,2,5,3,0.31
A1P0XSCJ9XAV74,22,3,2,4,0.81
A1P0XSCJ9XAV74,22,4,5,4,0.92
A1P0XSCJ9XAV74,20,1,1,1,0.05
A1P0XSCJ9XAV74,20,2,6,5,0.28
A1P0XSCJ9XAV74,20,3,2,5,0.28
A1P0XSCJ9XAV74,20,4,4,3,0.31
A1P0XSCJ9XAV74,21,1,4,2,0.06
A1P0XSCJ9XAV74,21,2,2,4,0.25
A1P0XSCJ9XAV74,21,3,3,3,0.6
A1P0XSCJ9XAV74,21,4,4,4,0.67
A1P0XSCJ9XAV74,1,1,1,3,0.17
A1P0XSCJ9XAV74,1,2,6,3,0.78
A1P0XSCJ9XAV74,1,3,6,4,0.89
A1P0XSCJ9XAV74,1,4,3,6,0.97
A1P0XSCJ9XAV74,12,1,3,3,0.16
A1P0XSCJ9XAV74,12,2,6,1,0.9
A1P0XSCJ9XAV74,12,3,6,5,0.9
A1P0XSCJ9XAV74,12,4,3,5,0.95
A1P0XSCJ9XAV74,4,1,2,1,0.51
A1P0XSCJ9XAV74,4,2,3,2,0.51
A1P0XSCJ9XAV74,4,3,3,5,0.68
A1P0XSCJ9XAV74,4,4,2,6,0.97
A1P0XSCJ9XAV74,31,1,5,2,0.4
A1P0XSCJ9XAV74,31,2,5,3,0.31
A1P0XSCJ9XAV74,31,3,2,2,0.52
A1P0XSCJ9XAV74,31,4,2,5,0.5
A1P0XSCJ9XAV74,9,1,5,3,0.03
A1P0XSCJ9XAV74,9,2,2,1,0.2
A1P0XSCJ9XAV74,9,3,6,3,0.3
A1P0XSCJ9XAV74,9,4,4,2,0.48
A1P0XSCJ9XAV74,24,1,2,3,0.09
A1P0XSCJ9XAV74,24,2,1,3,0.47
A1P0XSCJ9XAV74,24,3,6,3,0.47
A1P0XSCJ9XAV74,24,4,5,4,0.51
A1P0XSCJ9XAV74,18,1,4,1,0.11
A1P0XSCJ9XAV74,18,2,1,4,0.14
A1P0XSCJ9XAV74,18,3,3,6,0.45
A1P0XSCJ9XAV74,18,4,6,3,0.49
A1P0XSCJ9XAV74,32,1,2,3,0.29
A1P0XSCJ9XAV74,32,2,1,2,0.29
A1P0XSCJ9XAV74,32,3,5,3,0.48
A1P0XSCJ9XAV74,32,4,6,5,0.48
A1P0XSCJ9XAV74,6,1,3,2,0.22
A1P0XSCJ9XAV74,6,2,1,3,0.48
A1P0XSCJ9XAV74,6,3,2,4,0.48
A1P0XSCJ9XAV74,6,4,3,5,0.48
A30HUZHJBOX1LK,32,1,2,3,0.23
A30HUZHJBOX1LK,32,2,2,4,0.32
A30HUZHJBOX1LK,32,3,5,3,0.44
A30HUZHJBOX1LK,32,4,5,4,0.5
A30HUZHJBOX1LK,38,1,3,3,0.17
A30HUZHJBOX1LK,38,2,3,4,0.83
A30HUZHJBOX1LK,38,3,4,3,0.87
A30HUZHJBOX1LK,38,4,4,4,1
A30HUZHJBOX1LK,12,1,3,3,0.21
A30HUZHJBOX1LK,12,2,3,5,0.35
A30HUZHJBOX1LK,12,3,5,1,0.51
A30HUZHJBOX1LK,12,4,6,5,0.35
A30HUZHJBOX1LK,22,1,2,3,0.14
A30HUZHJBOX1LK,22,2,2,4,0.22
A30HUZHJBOX1LK,22,3,5,3,0.38
A30HUZHJBOX1LK,22,4,5,4,0.54
A30HUZHJBOX1LK,40,1,1,1,0.18
A30HUZHJBOX1LK,40,2,3,3,0.49
A30HUZHJBOX1LK,40,3,5,5,0.58
A30HUZHJBOX1LK,40,4,6,6,0.67
A30HUZHJBOX1LK,24,1,1,3,0.26
A30HUZHJBOX1LK,24,2,3,5,0.32
A30HUZHJBOX1LK,24,3,6,4,0.49
A30HUZHJBOX1LK,24,4,4,2,0.49
A30HUZHJBOX1LK,2,1,1,3,0.49
A30HUZHJBOX1LK,2,2,1,4,0.49
A30HUZHJBOX1LK,2,3,6,3,0.83
A30HUZHJBOX1LK,2,4,6,4,1
A30HUZHJBOX1LK,5,1,5,1,0.11
A30HUZHJBOX1LK,5,2,6,1,0.27
A30HUZHJBOX1LK,5,3,5,6,0.53
A30HUZHJBOX1LK,5,4,6,6,0.81
A30HUZHJBOX1LK,23,1,5,4,0.14
A30HUZHJBOX1LK,23,2,2,4,0.49
A30HUZHJBOX1LK,23,3,1,2,0.81
A30HUZHJBOX1LK,23,4,6,2,1
A30HUZHJBOX1LK,16,1,3,2,0.51
A30HUZHJBOX1LK,16,2,1,3,0.73
A30HUZHJBOX1LK,16,3,3,5,0.85
A30HUZHJBOX1LK,16,4,6,4,1
A30HUZHJBOX1LK,25,1,2,3,0.12
A30HUZHJBOX1LK,25,2,3,1,0.29
A30HUZHJBOX1LK,25,3,3,6,0.5
A30HUZHJBOX1LK,25,4,5,4,0.7
A30HUZHJBOX1LK,21,1,4,2,0.12
A30HUZHJBOX1LK,21,2,4,4,0.3
A30HUZHJBOX1LK,21,3,2,4,0.51
A30HUZHJBOX1LK,21,4,3,3,0.83
A30HUZHJBOX1LK,28,1,3,2,0.24
A30HUZHJBOX1LK,28,2,3,5,0.24
A30HUZHJBOX1LK,28,3,5,2,0.5
A30HUZHJBOX1LK,28,4,5,5,0.74
A30HUZHJBOX1LK,34,1,2,1,0.14
A30HUZHJBOX1LK,34,2,2,6,0.28
A30HUZHJBOX1LK,34,3,5,1,0.46
A30HUZHJBOX1LK,34,4,5,6,0.49
A30HUZHJBOX1LK,6,1,1,3,0.47
A30HUZHJBOX1LK,6,2,1,4,0.47
A30HUZHJBOX1LK,6,3,6,3,0.47
A30HUZHJBOX1LK,6,4,6,4,0.47
A30HUZHJBOX1LK,27,1,3,2,0.27
A30HUZHJBOX1LK,27,2,6,1,0.51
A30HUZHJBOX1LK,27,3,3,5,0.51
A30HUZHJBOX1LK,27,4,6,6,0.51
A30HUZHJBOX1LK,30,1,4,2,0.27
A30HUZHJBOX1LK,30,2,5,2,0.27
A30HUZHJBOX1LK,30,3,4,4,0.37
A30HUZHJBOX1LK,30,4,5,4,0.37
A30HUZHJBOX1LK,13,1,5,5,0.2
A30HUZHJBOX1LK,13,2,6,5,0.49
A30HUZHJBOX1LK,13,3,5,2,0.98
A30HUZHJBOX1LK,13,4,6,2,1
A30HUZHJBOX1LK,26,1,3,2,0.22
A30HUZHJBOX1LK,26,2,5,3,0.22
A30HUZHJBOX1LK,26,3,4,5,0.34
A30HUZHJBOX1LK,26,4,2,4,0.49
A30HUZHJBOX1LK,37,1,1,1,0.3
A30HUZHJBOX1LK,37,2,1,6,0.51
A30HUZHJBOX1LK,37,3,6,1,0.51
A30HUZHJBOX1LK,37,4,6,6,0.51
AP4A0MZOKR52J,22,1,2,3,0.16
AP4A0MZOKR52J,22,2,5,4,1
AP4A0MZOKR52J,22,3,5,3,1
AP4A0MZOKR52J,22,4,2,4,1
AP4A0MZOKR52J,31,1,2,1,0.07
AP4A0MZOKR52J,31,2,2,6,0.11
AP4A0MZOKR52J,31,3,2,3,0.48
AP4A0MZOKR52J,31,4,5,4,0.6
AP4A0MZOKR52J,30,1,5,4,0.18
AP4A0MZOKR52J,30,2,3,5,0.33
AP4A0MZOKR52J,30,3,2,5,0.45
AP4A0MZOKR52J,30,4,2,4,0.58
AP4A0MZOKR52J,5,1,5,1,0.22
AP4A0MZOKR52J,5,2,5,6,0.39
AP4A0MZOKR52J,5,3,6,1,0.69
AP4A0MZOKR52J,5,4,6,6,1
AP4A0MZOKR52J,20,1,1,1,0.12
AP4A0MZOKR52J,20,2,2,5,0.23
AP4A0MZOKR52J,20,3,4,1,0.3
AP4A0MZOKR52J,20,4,6,6,0.48
AP4A0MZOKR52J,35,1,5,2,0.14
AP4A0MZOKR52J,35,2,5,5,0.23
AP4A0MZOKR52J,35,3,2,2,0.4
AP4A0MZOKR52J,35,4,2,5,1
AP4A0MZOKR52J,6,1,1,3,0.13
AP4A0MZOKR52J,6,2,3,6,0.22
AP4A0MZOKR52J,6,3,6,3,0.42
AP4A0MZOKR52J,6,4,4,1,0.61
AP4A0MZOKR52J,1,1,1,4,0.13
AP4A0MZOKR52J,1,2,3,6,0.24
AP4A0MZOKR52J,1,3,6,3,0.34
AP4A0MZOKR52J,1,4,3,1,0.68
AP4A0MZOKR52J,26,1,3,2,0.19
AP4A0MZOKR52J,26,2,3,5,0.35
AP4A0MZOKR52J,26,3,4,2,0.51
AP4A0MZOKR52J,26,4,4,5,0.96
AP4A0MZOKR52J,28,1,3,2,0.11
AP4A0MZOKR52J,28,2,5,2,0.36
AP4A0MZOKR52J,28,3,3,5,0.56
AP4A0MZOKR52J,28,4,5,5,0.98
AP4A0MZOKR52J,10,1,4,6,0.1
AP4A0MZOKR52J,10,2,6,4,0.24
AP4A0MZOKR52J,10,3,4,2,0.33
AP4A0MZOKR52J,10,4,2,2,0.78
AP4A0MZOKR52J,32,1,1,2,0.11
AP4A0MZOKR52J,32,2,1,5,0.21
AP4A0MZOKR52J,32,3,5,3,0.36
AP4A0MZOKR52J,32,4,6,5,0.6
AP4A0MZOKR52J,33,1,2,3,0.2
AP4A0MZOKR52J,33,2,3,4,0.33
AP4A0MZOKR52J,33,3,4,3,0.5
AP4A0MZOKR52J,33,4,5,4,0.7
AP4A0MZOKR52J,27,1,6,1,0.11
AP4A0MZOKR52J,27,2,3,2,0.23
AP4A0MZOKR52J,27,3,3,5,0.35
AP4A0MZOKR52J,27,4,6,6,0.44
AP4A0MZOKR52J,9,1,5,3,0.15
AP4A0MZOKR52J,9,2,6,1,0.25
AP4A0MZOKR52J,9,3,2,1,0.38
AP4A0MZOKR52J,9,4,6,3,0.96
AP4A0MZOKR52J,3,1,3,3,0.19
AP4A0MZOKR52J,3,2,3,4,0.44
AP4A0MZOKR52J,3,3,4,3,0.71
AP4A0MZOKR52J,3,4,4,4,1
AP4A0MZOKR52J,14,1,3,3,0.12
AP4A0MZOKR52J,14,2,3,4,0.23
AP4A0MZOKR52J,14,3,4,3,0.42
AP4A0MZOKR52J,14,4,4,4,0.47
AP4A0MZOKR52J,15,1,5,2,0.12
AP4A0MZOKR52J,15,2,3,2,0.32
AP4A0MZOKR52J,15,3,5,4,0.48
AP4A0MZOKR52J,15,4,3,4,0.54
AP4A0MZOKR52J,40,1,1,1,0.13
AP4A0MZOKR52J,40,2,6,6,0.29
AP4A0MZOKR52J,40,3,3,3,0.43
AP4A0MZOKR52J,40,4,5,5,0.7
AP4A0MZOKR52J,13,1,5,2,0.31
AP4A0MZOKR52J,13,2,5,5,0.5
AP4A0MZOKR52J,13,3,6,2,0.68
AP4A0MZOKR52J,13,4,6,5,1
A222R4PNCF08OF,13,1,6,2,0.48
A222R4PNCF08OF,13,2,5,5,1
A222R4PNCF08OF,13,3,4,4,1
A222R4PNCF08OF,13,4,4,3,1
A222R4PNCF08OF,21,1,3,4,0.5
A222R4PNCF08OF,21,2,2,4,0.56
A222R4PNCF08OF,21,3,3,3,0.69
A222R4PNCF08OF,21,4,4,2,0.71
A222R4PNCF08OF,9,1,5,3,0.27
A222R4PNCF08OF,9,2,4,2,0.28
A222R4PNCF08OF,9,3,2,1,0.29
A222R4PNCF08OF,9,4,2,2,0.31
A222R4PNCF08OF,4,1,2,1,0.5
A222R4PNCF08OF,4,2,2,6,0.51
A222R4PNCF08OF,4,3,4,3,0.53
A222R4PNCF08OF,4,4,4,4,0.64
A222R4PNCF08OF,40,1,4,4,0.43
A222R4PNCF08OF,40,2,1,1,0.46
A222R4PNCF08OF,40,3,3,3,0.49
A222R4PNCF08OF,40,4,6,6,0.52
A222R4PNCF08OF,39,1,1,5,0.45
A222R4PNCF08OF,39,2,1,3,0.47
A222R4PNCF08OF,39,3,6,5,0.48
A222R4PNCF08OF,39,4,2,2,0.52
A222R4PNCF08OF,23,1,2,3,0.38
A222R4PNCF08OF,23,2,2,4,0.38
A222R4PNCF08OF,23,3,5,5,0.42
A222R4PNCF08OF,23,4,5,2,0.57
A222R4PNCF08OF,28,1,5,2,0.34
A222R4PNCF08OF,28,2,5,5,0.35
A222R4PNCF08OF,28,3,3,2,0.4
A222R4PNCF08OF,28,4,3,3,0.46
A222R4PNCF08OF,30,1,3,5,0.22
A222R4PNCF08OF,30,2,5,2,0.42
A222R4PNCF08OF,30,3,5,4,0.48
A222R4PNCF08OF,30,4,4,4,0.51
A222R4PNCF08OF,34,1,2,2,0.17
A222R4PNCF08OF,34,2,3,2,0.2
A222R4PNCF08OF,34,3,2,5,0.24
A222R4PNCF08OF,34,4,3,5,0.53
A222R4PNCF08OF,3,1,3,4,0.18
A222R4PNCF08OF,3,2,4,4,0.21
A222R4PNCF08OF,3,3,4,3,0.22
A222R4PNCF08OF,3,4,3,3,0.28
A222R4PNCF08OF,18,1,2,5,0.22
A222R4PNCF08OF,18,2,5,2,0.24
A222R4PNCF08OF,18,3,1,4,0.26
A222R4PNCF08OF,18,4,6,3,0.47
A222R4PNCF08OF,31,1,5,3,0.22
A222R4PNCF08OF,31,2,5,4,0.22
A222R4PNCF08OF,31,3,3,4,0.26
A222R4PNCF08OF,31,4,2,3,0.28
A222R4PNCF08OF,27,1,6,1,0.18
A222R4PNCF08OF,27,2,3,2,0.28
A222R4PNCF08OF,27,3,4,5,0.3
A222R4PNCF08OF,27,4,6,6,0.38
A222R4PNCF08OF,5,1,5,3,0.05
A222R4PNCF08OF,5,2,5,4,0.07
A222R4PNCF08OF,5,3,6,3,0.08
A222R4PNCF08OF,5,4,6,4,0.09
A222R4PNCF08OF,10,1,5,3,0.05
A222R4PNCF08OF,10,2,1,5,0.22
A222R4PNCF08OF,10,3,2,2,0.27
A222R4PNCF08OF,10,4,6,5,0.36
A222R4PNCF08OF,24,1,2,3,0.29
A222R4PNCF08OF,24,2,2,4,0.31
A222R4PNCF08OF,24,3,5,3,0.32
A222R4PNCF08OF,24,4,6,3,0.46
A222R4PNCF08OF,2,1,5,2,0.13
A222R4PNCF08OF,2,2,1,2,0.79
A222R4PNCF08OF,2,3,1,5,0.8
A222R4PNCF08OF,2,4,5,5,0.92
A222R4PNCF08OF,36,1,3,4,0.08
